Date,Open,High,Low,Close,Adj Close,Volume
2017-04-21,408.500000,410.725006,403.899994,406.375000,358.572723,1780310
2017-04-24,406.500000,412.000000,404.625000,409.774994,361.572754,1373968
2017-04-25,412.000000,412.924988,406.799988,409.975006,361.749268,2194602
2017-04-26,410.950012,411.000000,398.274994,400.125000,353.057892,1918248
2017-04-27,398.500000,410.000000,398.100006,404.850006,357.227112,5640334
2017-04-28,406.450012,410.000000,399.875000,407.049988,359.168335,2794138
2017-05-02,408.075012,412.725006,405.850006,411.024994,362.675690,1722732
2017-05-03,412.475006,418.750000,410.500000,417.549988,368.433136,1989864
2017-05-04,418.049988,421.299988,404.075012,409.000000,360.888885,2758496
2017-05-05,410.475006,416.000000,407.149994,414.799988,366.006683,1856816
2017-05-08,414.924988,422.500000,412.850006,420.100006,370.683228,1581634
2017-05-09,422.500000,427.424988,419.975006,424.875000,374.896484,1814522
2017-05-10,424.375000,425.450012,419.049988,421.799988,372.183228,1515412
2017-05-11,428.899994,429.399994,417.799988,419.350006,370.021393,7029834
2017-05-12,420.000000,424.100006,419.524994,423.825012,373.970062,3295402
2017-05-15,424.250000,425.000000,422.500000,424.274994,374.367157,1375146
2017-05-16,425.000000,428.049988,424.024994,424.799988,374.830322,5948804
2017-05-17,426.000000,427.649994,421.100006,426.774994,376.572937,2747118
2017-05-18,425.424988,436.125000,422.125000,424.200012,374.300964,7317362
2017-05-19,426.500000,427.250000,422.049988,422.350006,372.668518,2896062
2017-05-22,425.000000,431.125000,424.000000,428.725006,378.293640,5784538
2017-05-23,431.500000,435.399994,429.575012,432.450012,381.580475,6427042
2017-05-24,427.450012,428.975006,420.000000,427.424988,379.781158,4033036
2017-05-25,430.125000,433.750000,426.299988,429.799988,381.891449,5896078
2017-05-26,428.850006,433.000000,427.725006,429.549988,381.669312,2604830
2017-05-29,429.450012,436.000000,425.725006,432.225006,384.046112,3686630
2017-05-30,432.225006,435.975006,426.475006,434.075012,385.689972,2826830
2017-05-31,432.049988,434.649994,429.125000,432.125000,383.957214,5747114
2017-06-01,431.500000,435.500000,429.575012,431.125000,383.068726,1843166
2017-06-02,431.399994,434.850006,426.850006,428.950012,381.136230,2223574
